[DEFAULT]
mode=0  # 0=一般模式, 1=重試模式
max_concurrent_accounts=30 # 同時處理的帳號數量
start_date=2025/01/01 # 獎金查詢開始日期
end_date=2025/12/31   # 獎金查詢結束日期
thread_start_delay=0.5 # 每個帳號開始處理前的延遲（秒）
max_login_attempts=3   # 每個帳號的最大登入嘗試次數
request_delay=2.0      # 每次請求之間的延遲（秒）
max_request_retries=3  # 請求失敗時的最大重試次數
retry_delay=3.0        # 重試前的延遲（秒）

# --- Dropbox Settings ---
#dropbox_app_key=vjxxknfipwukyzs
#dropbox_app_secret=905vcme1i68i3ke
#dropbox_refresh_token=3oC3tEUkH4kAAAAAAAAAAZynwxJdINsFTND_BhYiGuAvzQChRlLJR5U4HClZJ3n_
# dropbox_token=your_short_lived_access_token_here
# --- API and File Settings ---
#dropbox_account_file_path=/account/account.txt
#dropbox_folder=/output
# --- Security Settings ---
#api_action_password=0000

# --- Flask Server Settings (Optional) ---
FLASK_HOST=0.0.0.0 # 監聽所有網絡介面
FLASK_PORT=5000     # Flask 服務運行的端口
